,well,fov,centroid-0,centroid-1
2575,r07c18,5,549.2565386755704,21.154702281580413
2576,r07c18,5,533.5258449304175,1064.034791252485
2577,r07c18,5,599.1892123287671,181.9914383561644
2578,r07c18,5,611.0418502202643,1068.5748898678414
2579,r07c18,5,611.7089618456079,567.5882874889086
2580,r07c18,5,631.1030619865571,110.34055265123226
2581,r07c18,5,656.5032,244.9512
2582,r07c18,5,661.6962025316456,139.20727848101265
2583,r07c18,5,685.4117647058823,305.16638655462185
2584,r07c18,5,723.6738983050848,625.5193220338983
2585,r07c18,5,760.2628865979382,60.44201030927835
2586,r07c18,5,778.501679731243,19.721164613661813
2587,r07c18,5,780.6287878787879,249.4015151515152
2588,r07c18,5,795.0743565300286,1043.2678741658722
2589,r07c18,5,789.4878048780488,1076.9268292682927
2590,r07c18,5,812.186677631579,1006.0699013157896
2591,r07c18,5,826.3905160390516,143.1171548117155
2592,r07c18,5,833.6339794754846,69.49714937286203
2593,r07c18,5,824.5092936802974,222.3543990086741
2594,r07c18,5,834.5487179487179,12.198717948717947
2595,r07c18,5,851.2509960159363,222.921646746348
2596,r07c18,5,853.4458788480636,986.1439920556109
2597,r07c18,5,867.1635359116023,107.49834254143646
2598,r07c18,5,893.1402266288952,57.65014164305949
2599,r07c18,5,914.720133667502,135.60484544695072
2600,r07c18,5,927.2636229749633,80.73343151693668
2601,r07c18,5,935.4184566428004,555.4558472553699
2602,r07c18,5,976.5311542390194,352.8110316649643
2603,r07c18,5,983.2840236686392,447.4277261200338
2604,r07c18,5,1020.3744075829384,96.41627172195892
2605,r07c18,5,1044.7366288492706,468.6353322528363
2606,r07c18,5,1061.842056932966,549.8815426997245
2607,r07c18,5,1056.131950207469,351.14356846473027
2608,r05c18,4,10.877289377289378,440.1300366300366
2609,r05c18,4,8.30164533820841,603.4680073126143
2610,r05c18,4,6.94551282051282,744.8621794871794
2611,r05c18,4,4.06,1011.096
2612,r05c18,4,21.67708333333333,912.6918402777778
2613,r05c18,4,49.96883593033914,803.9110907424381
2614,r05c18,4,51.3488759367194,689.3663613655287
2615,r05c18,4,50.1385948026949,622.2319538017324
2616,r05c18,4,51.518181818181816,4.840909090909091
2617,r05c18,4,71.40052356020942,147.77486910994764
2618,r05c18,4,58.178260869565214,997.671304347826
2619,r05c18,4,79.46862483311081,1065.078771695594
2620,r05c18,4,107.7794508414526,376.19663418954826
2621,r05c18,4,117.95135135135136,884.9081081081081
2622,r05c18,4,121.43391066545124,975.2780309936188
2623,r05c18,4,125.97945205479452,1066.1472602739725
2624,r05c18,4,136.80811403508773,771.781798245614
2625,r05c18,4,183.3477765108324,823.6909920182441
